date,wind,visibility,temp,usage
3-Mar-2015,14.8,8.671428571,33.11428571,367477
4-Mar-2015,9.311111111,6.586666667,30.15555556,375893
5-Mar-2015,10.82051282,5.717948718,37.69230769,415013
6-Mar-2015,12.47169811,3.924528302,28.69811321,345727
7-Mar-2015,9.34375,10,20.09375,423177
8-Mar-2015,11.75,10,28.625,477973
9-Mar-2015,10.3125,9.934375,39.84375,388341
10-Mar-2015,8.625,10,43.09375,370559
11-Mar-2015,3.58974359,7.248717949,42.74358974,392331
12-Mar-2015,9.756097561,6.358536585,49.09756098,406344
13-Mar-2015,20.3125,10,44.59375,437266
14-Mar-2015,8.4375,10,36.71875,451622
15-Mar-2015,9.085106383,4.980851064,45,472002
16-Mar-2015,19.875,10,43.25,396323
17-Mar-2015,9.21875,10,41.21875,353907
18-Mar-2015,17.5,9.840625,46.09375,391674
19-Mar-2015,19.34375,9.971875,34.21875,428642
20-Mar-2015,12.09375,10,35.96875,427592
21-Mar-2015,10.31707317,5.536585366,33.36585366,434339
22-Mar-2015,9.055555556,8.516666667,37.22222222,444865
23-Mar-2015,17.48484848,10,39.09090909,406529
24-Mar-2015,15.21875,10,32.15625,367159
25-Mar-2015,8.625,10,33.90625,388404
26-Mar-2015,5.529411765,9.732352941,39,404306
27-Mar-2015,8.811320755,3.109433962,47.22641509,405953
28-Mar-2015,10.65853659,10,43.87804878,442294
29-Mar-2015,17.25,9.7875,36.40625,485200
30-Mar-2015,14.09375,9.9375,35.125,401276
31-Mar-2015,14.38235294,9.882352941,43.73529412,368413
2-Apr-2015,11.59375,10,43.40625,428929
3-Apr-2015,13.90625,10,46.5,421500
4-Apr-2015,7.5625,3.945833333,49.64583333,423447
5-Apr-2015,18.8974359,8.207692308,50.74358974,417070
6-Apr-2015,12.96969697,10,50.54545455,355311
7-Apr-2015,10.4375,10,49.59375,349178
8-Apr-2015,8.147058824,9.820588235,49.76470588,405455
9-Apr-2015,14,9.384615385,43.74358974,421495
10-Apr-2015,11.41176471,8.326470588,40.73529412,437601
11-Apr-2015,7.326530612,4.444897959,46.53061224,445184
12-Apr-2015,17.34375,10,55.1875,450153
13-Apr-2015,9,10,50.15625,383644
14-Apr-2015,13.8125,10,52.53125,356188
15-Apr-2015,6.212121212,9.939393939,56.21212121,390526
16-Apr-2015,11.34375,10,61.03125,404677
17-Apr-2015,11.125,10,54.25,428061
18-Apr-2015,9.55,9.875,56.85,446735
19-Apr-2015,9,10,62.4375,476707
20-Apr-2015,11.5625,10,52.90625,424703
21-Apr-2015,15.44230769,3.128846154,52.75,375876
22-Apr-2015,12.18604651,6.934883721,57.55813953,405998
23-Apr-2015,13.77142857,9.631428571,54.51428571,410596
24-Apr-2015,19.03125,10,46.6875,439799
25-Apr-2015,22.09375,10,44,449746
26-Apr-2015,11.25,10,47.28125,463274
27-Apr-2015,10.0625,10,51.65625,403790
28-Apr-2015,14.34375,10,55.8125,372919
29-Apr-2015,14.21212121,10,58.15151515,391294
30-Apr-2015,11.4375,10,62.46875,406412
1-May-2015,11.55263158,9.976315789,41.73684211,408727
2-May-2015,8.59375,10,50.59375,439259
3-May-2015,6.78125,10,51.3125,483143
4-May-2015,7.870967742,10,55.77419355,411572
5-May-2015,9.84375,9.875,61.9375,370215
6-May-2015,5.6875,10,66.625,413049
7-May-2015,7.8125,10,64.65625,423070
8-May-2015,6.057142857,8.151428571,60.42857143,420662
9-May-2015,5.365384615,3.813461538,59.30769231,427863
10-May-2015,6.68627451,1.103921569,60.62745098,447014
11-May-2015,8.26,6.092,64.92,383993
12-May-2015,8.037735849,5.228301887,67.24528302,375401
13-May-2015,11.09302326,6.125581395,72.62790698,404306
14-May-2015,16.90625,10,63.125,417298
15-May-2015,11.84375,10,59.625,417080
