date,hour,count
1-Jul-2015,18,31508
2-Jul-2015,17,24772
3-Jul-2015,16,21499
4-Jul-2015,15,17069
5-Jul-2015,13,15717
6-Jul-2015,14,16762
7-Jul-2015,17,20263
8-Jul-2015,17,23194
9-Jul-2015,18,25029
10-Jul-2015,18,28325
11-Jul-2015,17,25052
12-Jul-2015,17,23497
13-Jul-2015,17,22993
14-Jul-2015,17,22140
15-Jul-2015,18,24524
16-Jul-2015,17,26299
17-Jul-2015,17,25196
18-Jul-2015,17,21548
19-Jul-2015,18,24126
20-Jul-2015,17,22707
21-Jul-2015,17,24729
22-Jul-2015,18,23817
23-Jul-2015,17,24630
24-Jul-2015,17,25219
25-Jul-2015,18,24227
26-Jul-2015,17,23237
27-Jul-2015,17,21033
28-Jul-2015,16,22288
29-Jul-2015,18,24714
30-Jul-2015,18,27523
31-Jul-2015,17,24347
1-Jun-2015,18,24672
2-Jun-2015,18,26139
3-Jun-2015,19,26750
4-Jun-2015,18,27197
5-Jun-2015,17,28153
6-Jun-2015,18,26932
7-Jun-2015,18,26973
8-Jun-2015,17,24786
9-Jun-2015,17,25759
10-Jun-2015,19,25753
11-Jun-2015,17,27323
12-Jun-2015,17,27789
13-Jun-2015,18,27206
14-Jun-2015,18,24863
15-Jun-2015,17,24095
16-Jun-2015,17,23562
17-Jun-2015,18,25388
18-Jun-2015,18,27572
19-Jun-2015,17,26882
20-Jun-2015,18,26566
21-Jun-2015,17,24292
22-Jun-2015,17,22228
23-Jun-2015,17,24043
24-Jun-2015,18,25683
25-Jun-2015,17,26289
26-Jun-2015,17,26588
27-Jun-2015,18,26154
28-Jun-2015,17,27083
29-Jun-2015,17,23003
30-Jun-2015,17,21980
1-Mar-2015,18,24023
2-Mar-2015,17,28017
3-Mar-2015,18,26308
4-Mar-2015,18,24556
5-Mar-2015,19,29379
6-Mar-2015,17,22519
7-Mar-2015,17,29189
8-Mar-2015,18,30058
9-Mar-2015,18,26872
10-Mar-2015,17,25206
11-Mar-2015,18,27023
12-Mar-2015,19,27257
13-Mar-2015,17,29149
14-Mar-2015,18,30021
15-Mar-2015,18,29140
16-Mar-2015,17,26736
17-Mar-2015,16,24097
