date,hour,count
20-Feb-2015,12,838
21-Feb-2015,12,736
22-Feb-2015,10,473
23-Feb-2015,11,479
24-Feb-2015,12,927
25-Feb-2015,12,823
26-Feb-2015,1,1175
27-Feb-2015,1,1022
28-Feb-2015,12,940
1-Jan-2015,12,569
2-Jan-2015,12,542
3-Jan-2015,1,1061
4-Jan-2015,11,727
5-Jan-2015,12,837
6-Jan-2015,1,1632
7-Jan-2015,12,997
8-Jan-2015,12,983
9-Jan-2015,12,990
10-Jan-2015,12,969
11-Jan-2015,12,579
12-Jan-2015,12,745
13-Jan-2015,1,1307
14-Jan-2015,1,1300
15-Jan-2015,1,1491
16-Jan-2015,1,1395
17-Jan-2015,2,1379
18-Jan-2015,12,714
19-Jan-2015,4,175
20-Jan-2015,12,914
21-Jan-2015,3,1759
22-Jan-2015,1,1578
23-Jan-2015,2,1698
24-Jan-2015,1,1613
25-Jan-2015,12,463
26-Jan-2015,12,909
27-Jan-2015,9,260
28-Jan-2015,2,132
29-Jan-2015,12,688
30-Jan-2015,12,989
31-Jan-2015,12,802
1-Jul-2015,12,469
2-Jul-2015,19,4145
3-Jul-2015,16,3245
4-Jul-2015,13,2349
5-Jul-2015,11,1980
6-Jul-2015,14,2244
7-Jul-2015,16,4090
8-Jul-2015,19,4096
9-Jul-2015,18,3828
10-Jul-2015,17,3868
11-Jul-2015,16,3825
12-Jul-2015,14,2610
13-Jul-2015,15,2635
14-Jul-2015,19,4347
15-Jul-2015,17,4059
16-Jul-2015,17,4189
17-Jul-2015,19,4433
18-Jul-2015,16,3962
19-Jul-2015,13,2550
20-Jul-2015,15,2283
21-Jul-2015,17,4078
22-Jul-2015,19,4370
23-Jul-2015,19,4547
24-Jul-2015,18,4511
25-Jul-2015,16,4107
26-Jul-2015,15,2624
27-Jul-2015,15,2625
28-Jul-2015,17,4550
29-Jul-2015,18,4355
30-Jul-2015,18,4192
31-Jul-2015,13,3516
1-Jun-2015,16,3712
2-Jun-2015,5,2202
3-Jun-2015,1,1159
4-Jun-2015,10,3817
5-Jun-2015,10,3509
6-Jun-2015,7,3668
7-Jun-2015,9,2385
8-Jun-2015,9,2853
9-Jun-2015,9,4082
10-Jun-2015,10,4226
11-Jun-2015,11,4271
12-Jun-2015,10,3945
13-Jun-2015,10,3546
14-Jun-2015,10,2514
15-Jun-2015,10,2467
16-Jun-2015,6,2949
17-Jun-2015,10,2929
18-Jun-2015,10,4117
19-Jun-2015,10,3777
20-Jun-2015,10,3810
21-Jun-2015,9,2034
22-Jun-2015,10,2465
23-Jun-2015,10,4196
24-Jun-2015,10,3534
25-Jun-2015,11,4260
26-Jun-2015,11,4211
27-Jun-2015,11,3832
28-Jun-2015,4,1966
29-Jun-2015,8,2187
30-Jun-2015,10,4365
1-Mar-2015,10,4006
2-Mar-2015,9,483
3-Mar-2015,12,994
4-Mar-2015,8,426
5-Mar-2015,12,911
6-Mar-2015,1,150
7-Mar-2015,10,618
8-Mar-2015,12,541
9-Mar-2015,12,817
10-Mar-2015,2,2002
11-Mar-2015,12,776
12-Mar-2015,3,2412
13-Mar-2015,2,1905
14-Mar-2015,1,1782
15-Mar-2015,11,419
16-Mar-2015,12,786
17-Mar-2015,2,2114
18-Mar-2015,2,1735
19-Mar-2015,1,1540
20-Mar-2015,2,1802
21-Mar-2015,10,654
22-Mar-2015,12,916
23-Mar-2015,12,902
24-Mar-2015,1,1691
25-Mar-2015,3,1958
26-Mar-2015,1,1496
27-Mar-2015,3,1863
28-Mar-2015,2,1740
29-Mar-2015,6,262
30-Mar-2015,12,980
31-Mar-2015,3,2249
1-May-2015,1,1411
2-May-2015,15,3096
3-May-2015,12,2437
4-May-2015,13,2669
5-May-2015,16,3540
6-May-2015,16,3533
7-May-2015,15,3445
8-May-2015,17,3778
9-May-2015,15,3716
10-May-2015,11,2055
11-May-2015,13,2342
12-May-2015,17,3722
13-May-2015,18,3828
14-May-2015,15,3644
15-May-2015,18,4323
16-May-2015,15,3701
17-May-2015,13,2464
18-May-2015,13,2739
19-May-2015,15,3577
20-May-2015,18,3878
21-May-2015,16,3576
22-May-2015,16,3243
23-May-2015,14,2809
24-May-2015,11,2217
25-May-2015,11,2252
26-May-2015,13,2509
27-May-2015,17,3961
28-May-2015,16,3864
29-May-2015,17,3716
30-May-2015,16,3776
31-May-2015,13,2547
1-Nov-2015,11,2462
2-Nov-2015,14,2917
3-Nov-2015,17,4665
4-Nov-2015,18,4994
5-Nov-2015,19,5254
6-Nov-2015,19,5063
7-Nov-2015,18,4741
8-Nov-2015,15,3240
9-Nov-2015,13,3132
10-Nov-2015,17,4455
11-Nov-2015,10,2687
12-Nov-2015,18,3936
13-Nov-2015,18,4350
14-Nov-2015,17,4315
15-Nov-2015,13,2459
16-Nov-2015,12,2543
17-Nov-2015,18,4322
18-Nov-2015,17,4492
19-Nov-2015,18,4682
20-Nov-2015,14,4733
21-Nov-2015,17,4110
22-Nov-2015,12,2641
23-Nov-2015,11,2129
24-Nov-2015,16,3531
25-Nov-2015,15,3671
26-Nov-2015,14,3001
27-Nov-2015,5,1388
28-Nov-2015,10,2289
29-Nov-2015,5,1816
30-Nov-2015,9,1823
1-Oct-2015,16,3335
2-Oct-2015,16,4853
3-Oct-2015,1,1611
4-Oct-2015,8,1593
5-Oct-2015,13,3051
6-Oct-2015,18,5216
7-Oct-2015,19,5489
8-Oct-2015,19,5507
9-Oct-2015,18,5297
10-Oct-2015,15,4677
11-Oct-2015,15,3624
12-Oct-2015,15,3839
13-Oct-2015,17,4940
14-Oct-2015,19,5506
15-Oct-2015,19,5268
16-Oct-2015,18,5143
17-Oct-2015,18,5106
18-Oct-2015,12,2915
19-Oct-2015,10,2203
20-Oct-2015,18,4376
21-Oct-2015,21,5246
22-Oct-2015,18,5338
23-Oct-2015,18,5291
24-Oct-2015,17,4785
25-Oct-2015,13,2816
26-Oct-2015,12,3187
27-Oct-2015,19,4858
28-Oct-2015,18,4914
29-Oct-2015,16,4072
30-Oct-2015,17,5019
31-Oct-2015,16,4730
1-Sep-2015,14,3030
2-Sep-2015,20,4901
3-Sep-2015,19,4682
4-Sep-2015,18,4419
5-Sep-2015,16,3370
6-Sep-2015,14,3073
7-Sep-2015,14,2966
8-Sep-2015,14,2945
9-Sep-2015,19,4804
10-Sep-2015,18,4768
11-Sep-2015,11,2209
12-Sep-2015,19,5175
13-Sep-2015,13,3196
14-Sep-2015,14,3479
15-Sep-2015,18,5072
16-Sep-2015,20,5284
17-Sep-2015,18,5339
18-Sep-2015,18,5236
19-Sep-2015,18,5181
20-Sep-2015,17,3811
21-Sep-2015,15,3682
22-Sep-2015,19,5354
23-Sep-2015,19,5157
24-Sep-2015,19,5218
25-Sep-2015,18,5517
26-Sep-2015,19,5385
27-Sep-2015,18,3746
28-Sep-2015,15,3473
29-Sep-2015,19,5450
30-Sep-2015,19,5231
