date,wind,visibility,temp,usage
6-Apr-2015,12.96969697,10,50.54545455,12750
7-Apr-2015,10.4375,10,49.59375,23381
8-Apr-2015,8.147058824,9.820588235,49.76470588,16161
9-Apr-2015,14,9.384615385,43.74358974,16826
10-Apr-2015,11.41176471,8.326470588,40.73529412,15505
11-Apr-2015,7.326530612,4.444897959,46.53061224,16306
12-Apr-2015,17.34375,10,55.1875,17628
13-Apr-2015,9,10,50.15625,18860
14-Apr-2015,13.8125,10,52.53125,23900
15-Apr-2015,6.212121212,9.939393939,56.21212121,21698
16-Apr-2015,11.34375,10,61.03125,26594
17-Apr-2015,11.125,10,54.25,26148
18-Apr-2015,9.55,9.875,56.85,23175
19-Apr-2015,9,10,62.4375,27109
20-Apr-2015,11.5625,10,52.90625,20437
21-Apr-2015,15.44230769,3.128846154,52.75,11081
22-Apr-2015,12.18604651,6.934883721,57.55813953,23859
23-Apr-2015,13.77142857,9.631428571,54.51428571,20913
24-Apr-2015,19.03125,10,46.6875,21022
25-Apr-2015,22.09375,10,44,19916
26-Apr-2015,11.25,10,47.28125,20015
27-Apr-2015,10.0625,10,51.65625,20349
28-Apr-2015,14.34375,10,55.8125,24489
29-Apr-2015,14.21212121,10,58.15151515,28681
30-Apr-2015,11.4375,10,62.46875,30337
1-May-2015,11.55263158,9.976315789,41.73684211,7334
2-May-2015,8.59375,10,50.59375,27818
3-May-2015,6.78125,10,51.3125,25634
4-May-2015,7.870967742,10,55.77419355,26588
5-May-2015,9.84375,9.875,61.9375,30995
6-May-2015,5.6875,10,66.625,31957
7-May-2015,7.8125,10,64.65625,29216
8-May-2015,6.057142857,8.151428571,60.42857143,33836
9-May-2015,5.365384615,3.813461538,59.30769231,34180
10-May-2015,6.68627451,1.103921569,60.62745098,23254
11-May-2015,8.26,6.092,64.92,25558
12-May-2015,8.037735849,5.228301887,67.24528302,32278
13-May-2015,11.09302326,6.125581395,72.62790698,34200
14-May-2015,16.90625,10,63.125,32401
15-May-2015,11.84375,10,59.625,39785
16-May-2015,11.78125,10,61.25,33667
17-May-2015,5.228571429,9.16,63.34285714,22527
18-May-2015,6.243902439,5.16097561,69.53658537,29809
19-May-2015,9.863636364,7.272727273,61.13636364,30432
20-May-2015,4.844444444,4.948888889,63.62222222,33790
21-May-2015,16.25,10,61.53125,32784
22-May-2015,6.3125,10,55.375,31106
23-May-2015,13.03125,10,65.59375,30871
24-May-2015,14.96875,10,58.03125,23805
25-May-2015,14.125,10,63.40625,24006
26-May-2015,12.46875,10,66.71875,27160
27-May-2015,12.84375,10,67.9375,35673
28-May-2015,13.66666667,9.794444444,66.25,32650
29-May-2015,7.243902439,8.273170732,66.29268293,34910
30-May-2015,7.515151515,10,70.27272727,37644
31-May-2015,11.97619048,8.361904762,68.4047619,29829
1-Jun-2015,8.21875,9.653125,82.40625,37437
2-Jun-2015,12.04761905,5.711904762,59.02380952,10225
3-Jun-2015,9.976744186,8.302325581,53.39534884,7206
4-Jun-2015,8.435897436,10,57.82051282,24661
5-Jun-2015,11.17647059,10,59.02941176,22912
6-Jun-2015,5.538461538,9.976923077,60.23076923,21359
7-Jun-2015,8.804878049,8.619512195,66.63414634,22486
8-Jun-2015,8.40625,10,63.8125,25953
9-Jun-2015,17.59375,9.971875,66.625,23603
10-Jun-2015,13.13513514,9.010810811,71.48648649,25709
11-Jun-2015,10.75,10,72.34375,27653
12-Jun-2015,9.78125,9.8125,75.625,25831
13-Jun-2015,10.28125,9.70625,77.59375,24524
14-Jun-2015,11,10,79.5,24920
15-Jun-2015,7.9375,9.809375,74.46875,24223
16-Jun-2015,7.592592593,7.27962963,71.16666667,16876
17-Jun-2015,6.263157895,8.392105263,70.13157895,21037
18-Jun-2015,10.06451613,10,72.22580645,26114
19-Jun-2015,8.195652174,9.956521739,66.95652174,24541
20-Jun-2015,6.484848485,10,76.45454545,26819
21-Jun-2015,9.756756757,8.581081081,70.13513514,18710
22-Jun-2015,14.24444444,8.46,77.64444444,22703
23-Jun-2015,11.34375,10,80.5625,26753
24-Jun-2015,10.44117647,9.867647059,79.67647059,20551
25-Jun-2015,11.34375,10,78.40625,28846
26-Jun-2015,9.125,10,74.4375,27817
27-Jun-2015,6.5625,10,73.71875,27901
28-Jun-2015,11.66666667,9.136111111,66.58333333,11404
29-Jun-2015,9.6,8.15,68.775,18237
30-Jun-2015,12.75,10,71.8125,26994
1-Jul-2015,23.4375,10,20.59375,4364
2-Jul-2015,14.5,9.342105263,76.81578947,36433
3-Jul-2015,5.4375,10,74.28125,34554
4-Jul-2015,8.34375,10,73.5625,26828
5-Jul-2015,5.84375,9.971875,73.125,20604
6-Jul-2015,9.8125,10,74.34375,25817
7-Jul-2015,7.647058824,9.738235294,75.44117647,35135
8-Jul-2015,11.22,6.708,78.3,35766
9-Jul-2015,7.4,9.2,79.62857143,34044
10-Jul-2015,8.054054054,9.408108108,73.86486486,30957
11-Jul-2015,10.62857143,9.942857143,77.62857143,37439
12-Jul-2015,7.1875,10,77.78125,30528
13-Jul-2015,8.696969697,10,78.48484848,29981
14-Jul-2015,7.1875,10,76.75,37459
15-Jul-2015,6.930232558,8.825581395,76.74418605,34747
16-Jul-2015,7.133333333,7.155555556,76.46666667,33926
17-Jul-2015,10.15625,10,71.9375,41292
18-Jul-2015,11.6875,10,73.03125,38441
19-Jul-2015,11.19444444,9.944444444,76.58333333,28757
20-Jul-2015,9.484848485,9.557575758,80.93939394,28419
21-Jul-2015,10.46875,9.9375,86.6875,34776
22-Jul-2015,9.03125,10,82.84375,37473
